Review,isPositive,id,Review_bigram,Review_Tokens
short stori appear stori author publish book seller warn tire,TRUE,1,short stori appear stori author publish book seller warn tire,short|stori|appear|stori|author|publish|book|seller|warn|tire
book seri write didnt book book plot final bring gui dont doesnt real power intellig charact write charact develop plot perfect flaw enjoi read intend children,TRUE,2,book not seri write didnt book book plot final bring gui dont doesnt real power intellig charact write charact develop plot perfect flaw enjoi read intend children,book|seri|write|didnt|book|book|plot|final|bring|gui|dont|doesnt|real|power|intellig|charact|write|charact|develop|plot|perfect|flaw|enjoi|read|intend|children
edit classic book market guid color plenti detail price book edit process publish mark publish publish chapter children book ad top list list author make quick easi market,TRUE,3,edit classic book market guid color plenti detail price book edit process publish mark publish publish chapter children book ad top list list author make quick easi market,edit|classic|book|market|guid|color|plenti|detail|price|book|edit|process|publish|mark|publish|publish|chapter|children|book|ad|top|list|list|author|make|quick|easi|market
tale night fantasi stori secret world discov truth friend adventur journei death rest youll read book book word book storylin read hour cover cover start bore storylin improv page start,TRUE,4,tale night fantasi stori secret world discov truth friend adventur journei death rest youll read book book word book storylin read hour cover cover start bore storylin improv page start,tale|night|fantasi|stori|secret|world|discov|truth|friend|adventur|journei|death|rest|youll|read|book|book|word|book|storylin|read|hour|cover|cover|start|bore|storylin|improv|page|start
love album beauti unlik lot song voic line war love sound time dont leav light babi doubt band time music hand child walk album,TRUE,5,love album beauti unlik lot song voic line war love sound time dont leav light babi no doubt band time music not hand child walk album,love|album|beauti|unlik|lot|song|voic|line|war|love|sound|time|dont|leav|light|babi|doubt|band|time|music|hand|child|walk|album
matter time iv movi continu enjoi fan gui,TRUE,6,no matter time iv movi continu enjoi fan gui,matter|time|iv|movi|continu|enjoi|fan|gui
book explain histor american machin ride understand sens bad boi bad toi fiction creat fiction histor book explain explain wouldnt understand easi read connect,TRUE,7,book explain histor american machin ride understand sens bad boi bad toi fiction creat fiction histor book explain explain wouldnt understand easi read connect,book|explain|histor|american|machin|ride|understand|sens|bad|boi|bad|toi|fiction|creat|fiction|histor|book|explain|explain|wouldnt|understand|easi|read|connect
purchas christma hit kid hous fail respons size soft fine cute fun price uniqu toi,TRUE,8,purchas christma hit kid hous never fail respons not size soft fine cute fun price uniqu toi,purchas|christma|hit|kid|hous|fail|respons|size|soft|fine|cute|fun|price|uniqu|toi
john act act understand function pop music happi memori song tast music bring job album,TRUE,9,john act act understand function pop music happi memori song tast music bring job album,john|act|act|understand|function|pop|music|happi|memori|song|tast|music|bring|job|album
enjoi written written author inform carri reader read book,TRUE,10,enjoi written written author inform carri reader read book,enjoi|written|written|author|inform|carri|reader|read|book
im follow stori line similar concept movi famili movi librari wasnt christma movi worth watch,TRUE,11,im not not follow stori line similar concept movi famili movi librari wasnt christma movi worth watch,im|follow|stori|line|similar|concept|movi|famili|movi|librari|wasnt|christma|movi|worth|watch
toi hang hole nice reason didnt star cup fell eventu attach return doubl tape screw,TRUE,12,toi hang hole nice reason didnt star cup not fell eventu attach return doubl tape screw no,toi|hang|hole|nice|reason|didnt|star|cup|fell|eventu|attach|return|doubl|tape|screw
movi fan critic book favorit figur ill love stori,TRUE,13,movi fan critic book favorit figur ill love stori,movi|fan|critic|book|favorit|figur|ill|love|stori
complet enjoi book dr captur current book hard love read,TRUE,14,complet enjoi book dr captur current book hard love not read,complet|enjoi|book|dr|captur|current|book|hard|love|read
understand design rich histor take hand master recommend book feet fine art,TRUE,15,understand design rich histor never take hand master recommend book feet fine art,understand|design|rich|histor|take|hand|master|recommend|book|feet|fine|art
test put bad price nice larger,TRUE,16,test put not bad price nice larger,test|put|bad|price|nice|larger
episod season video terribl replac fail season,TRUE,17,episod season video terribl replac fail season,episod|season|video|terribl|replac|fail|season
film didnt look hear review friend decid chanc im glad movi walk aw movi wrap mention cast movi actor surpris movi manag captur bottl film hope disc dvd set load extra concept art scene entertain hour movi collect,TRUE,18,film didnt look hear review friend decid chanc im glad movi walk aw movi wrap not mention cast movi actor surpris movi manag captur bottl film hope disc dvd set load extra concept art scene entertain hour movi collect,film|didnt|look|hear|review|friend|decid|chanc|im|glad|movi|walk|aw|movi|wrap|mention|cast|movi|actor|surpris|movi|manag|captur|bottl|film|hope|disc|dvd|set|load|extra|concept|art|scene|entertain|hour|movi|collect
easili minut perfectli flat true wouldnt call pretti heavi dont tabl tabl excel doesnt stick extra space worth price doesnt tool,TRUE,19,easili minut perfectli flat true wouldnt call pretti heavi dont tabl tabl no excel doesnt stick extra space worth price doesnt tool,easili|minut|perfectli|flat|true|wouldnt|call|pretti|heavi|dont|tabl|tabl|excel|doesnt|stick|extra|space|worth|price|doesnt|tool
cd listen cd cd music,TRUE,20,cd listen cd cd music,cd|listen|cd|cd|music
wife christma receiv theyr,TRUE,21,wife christma receiv theyr,wife|christma|receiv|theyr
product heard music,TRUE,22,product heard music,product|heard|music
product quickli recommend shop,TRUE,23,product quickli recommend shop,product|quickli|recommend|shop
period regular dont cut fantast hard water make hair clean fantast peopl hand price travel dai price,TRUE,24,period regular dont cut fantast hard water make hair clean fantast peopl hand no price no travel dai price,period|regular|dont|cut|fantast|hard|water|make|hair|clean|fantast|peopl|hand|price|travel|dai|price
car busi excel start tell truth stori car quickli hand,TRUE,25,car busi excel start tell truth stori car quickli hand,car|busi|excel|start|tell|truth|stori|car|quickli|hand
awesom love singer brother product,TRUE,26,awesom love singer brother product,awesom|love|singer|brother|product
author collect life ago classic hard book,TRUE,27,author collect life ago classic hard book,author|collect|life|ago|classic|hard|book
danc tune disc lead singer voic soul lyric deep wonder stop listen word stop love gui come album releas,TRUE,28,danc tune disc lead singer voic soul lyric deep wonder stop listen word stop love gui come album releas,danc|tune|disc|lead|singer|voic|soul|lyric|deep|wonder|stop|listen|word|stop|love|gui|come|album|releas
american favorit cd american song minut song excel favorit song she st,TRUE,29,american favorit cd american song minut song excel favorit song she st,american|favorit|cd|american|song|minut|song|excel|favorit|song|she|st
time plai clean product hook song filter half track current displai consist,TRUE,30,time plai clean product hook song filter half track current displai consist,time|plai|clean|product|hook|song|filter|half|track|current|displai|consist
book book read set uniqu world book life plot scienc fiction fan love book stori charact world write style wonder explain inform uniqu wonder storylin excel write style wrong decid read,TRUE,31,book book read set uniqu world book life not plot scienc fiction fan love book stori charact world write style wonder not explain inform uniqu wonder storylin excel write style not wrong decid read,book|book|read|set|uniqu|world|book|life|plot|scienc|fiction|fan|love|book|stori|charact|world|write|style|wonder|explain|inform|uniqu|wonder|storylin|excel|write|style|wrong|decid|read
bought love clean complet love,TRUE,32,bought love clean complet love,bought|love|clean|complet|love
bui replac batteri ship batteri dont hold charg minut phone batteri hold charg dai period origin batteri,TRUE,33,bui replac batteri ship batteri dont hold charg minut phone batteri not hold charg dai no period origin batteri,bui|replac|batteri|ship|batteri|dont|hold|charg|minut|phone|batteri|hold|charg|dai|period|origin|batteri
week seri dvd fix troubl,TRUE,34,week seri dvd fix troubl,week|seri|dvd|fix|troubl
easi basic design iv read start web site design easili color site miss book book design peopl read start color color edit book color bui edit havent bui,TRUE,35,easi basic design iv not read start web site design not easili color site miss book book design peopl read start color color edit book color bui edit havent bui,easi|basic|design|iv|read|start|web|site|design|easili|color|site|miss|book|book|design|peopl|read|start|color|color|edit|book|color|bui|edit|havent|bui
receiv amazon store cost store excel bui excel product soft comfort,TRUE,36,receiv amazon store cost store excel bui excel product not soft comfort,receiv|amazon|store|cost|store|excel|bui|excel|product|soft|comfort
book read manag basic miss compani stori easi enjoy read help illustr enjoy read dry busi book,TRUE,37,book read manag basic miss compani stori easi enjoy read help illustr enjoy read dry busi book not,book|read|manag|basic|miss|compani|stori|easi|enjoy|read|help|illustr|enjoy|read|dry|busi|book
classic instruct master read student game,TRUE,38,classic instruct master read student game,classic|instruct|master|read|student|game
book write tell life peopl connect dont bad book havent book read hard begin basic call class head take she monei believ begin bad life start past final catch realiz care,TRUE,39,book write tell life peopl connect not dont no bad book havent book read hard begin basic call class head take she monei believ begin bad life start past final catch realiz care,book|write|tell|life|peopl|connect|dont|bad|book|havent|book|read|hard|begin|basic|call|class|head|take|she|monei|believ|begin|bad|life|start|past|final|catch|realiz|care
recommend book feel food product idea food product book written read,TRUE,40,recommend book feel food product idea food product book written read,recommend|book|feel|food|product|idea|food|product|book|written|read
stori line enjoi love surpris found real son watch wont term effect wasnt wow rate peopl understand come kid real easili night dai bui read review,TRUE,41,stori line enjoi love surpris found real son watch wont term effect wasnt wow rate peopl understand come kid not real easili night dai not bui read review,stori|line|enjoi|love|surpris|found|real|son|watch|wont|term|effect|wasnt|wow|rate|peopl|understand|come|kid|real|easili|night|dai|bui|read|review
movi iv album iv heard,TRUE,42,movi iv album iv heard,movi|iv|album|iv|heard
iv bought tool amazon cover,TRUE,43,iv bought tool amazon no cover,iv|bought|tool|amazon|cover
help allow travel system eat amount moment,TRUE,44,help not allow travel system eat amount moment,help|allow|travel|system|eat|amount|moment
price price fit nice job,TRUE,45,price price fit nice job,price|price|fit|nice|job
film pretti movi fan perform id recommend rent movi,TRUE,46,film pretti movi fan perform id recommend rent not movi,film|pretti|movi|fan|perform|id|recommend|rent|movi
histori cultur hold humor involv love movi truth book book read read bed,TRUE,47,histori cultur hold humor involv not love movi truth book book read read bed,histori|cultur|hold|humor|involv|love|movi|truth|book|book|read|read|bed
feet size wide absolut love find fit gift size love wear hous,TRUE,48,feet size wide absolut love find fit gift size love wear hous,feet|size|wide|absolut|love|find|fit|gift|size|love|wear|hous
song song disc song arent satisfi bui album pick copi live album dvd nice treat forward,TRUE,49,song song disc song arent satisfi bui album pick copi live album dvd nice treat forward,song|song|disc|song|arent|satisfi|bui|album|pick|copi|live|album|dvd|nice|treat|forward
email author book chang life couldnt contact inform mother book relationship found help final book tell deal famili wors simpli wast time extrem help book,TRUE,50,email author book chang life couldnt contact inform mother book relationship found help final book tell not deal famili wors simpli wast time extrem help book,email|author|book|chang|life|couldnt|contact|inform|mother|book|relationship|found|help|final|book|tell|deal|famili|wors|simpli|wast|time|extrem|help|book
